,WATER_SPECIAL,ICE_STATUS,DARK_SPECIAL,NORMAL_STATUS,STEEL_PHYSICAL,PSYCHIC_SPECIAL,GRASS_SPECIAL,FIRE_SPECIAL,ICE_SPECIAL,ELECTRIC_SPECIAL,FIGHTING_PHYSICAL,FLYING_STATUS,ROCK_PHYSICAL,WATER_PHYSICAL,POISON_PHYSICAL,PSYCHIC_PHYSICAL,PSYCHIC_STATUS,NORMAL_PHYSICAL,POISON_STATUS,GRASS_STATUS,DARK_PHYSICAL,GROUND_PHYSICAL,ROCK_STATUS,ICE_PHYSICAL,DRAGON_SPECIAL,ELECTRIC_STATUS,BUG_PHYSICAL,DARK_STATUS,GROUND_SPECIAL,FLYING_SPECIAL,GHOST_SPECIAL,FIRE_STATUS
rock&dark_dark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.8,276.8,68.7,-54.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fire&flying_grass&fighting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,863.1,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fire&flying_ghost&dark,0.0,0.0,0.0,183.0,0.0,0.0,0.0,130.8,0.0,0.0,0.0,125.7,0.0,0.0,0.0,0.0,0.0,155.4,166.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_ghost&dark,0.0,0.0,0.0,0.0,0.0,0.0,64.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,145.3,134.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_normal,0.0,0.0,0.0,0.0,0.0,0.0,45.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.3,55.5,128.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ice&ground_normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.2,0.0,0.0,0.0,60.5,35.4,42.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ice&ground_dark&ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-102.6,31.1,0.0,0.0,-88.9,-74.6,-84.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water&dragon_dark&ice,-47.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.8,0.0,0.0,-111.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water&dragon_psychic,-50.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
steel_steel&psychic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.4,-40.6,0.0,0.0,0.0,-42.0,-47.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
