,substitute,roost,flamethrower,toxic,aromatherapy,softboiled,seismictoss,thunderwave,stealthrock,earthquake,iceshard,endeavor,dracometeor,hydropump,surf,dragonpulse,explosion,icepunch,sleeppowder,knockoff,grassknot,struggle,haze,hiddenpower,recover,icebeam,thunderbolt,superpower,closecombat,psychocut,stoneedge,trick,meteormash,psychic,swordsdance,waterfall,poisonjab,whirlwind,rockslide,leafstorm,uturn,rest,taunt,superfang,batonpass,meanlook,wish,protect,rapidspin,earthpower,fakeout,counter,aquajet,return,megahorn,facade,bulletpunch,sleeptalk,dynamicpunch,payback,encore,airslash,leechseed,spore,focuspunch,shadowball,willowisp,nightslash,lowkick,reflect,lightscreen
crobat_tangrowth,0,85,0,0,0,0,0,0,-31,181,0,0,0,0,0,0,210,131,0,0,0,154,0,99,0,0,0,0,0,0,0,1,111,0,0,0,0,0,0,219,159,184,140,217,53,202,137,214,-11,64,-20,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
umbreon_tangrowth,0,157,0,0,0,0,0,0,61,192,0,0,0,0,0,0,127,125,0,0,0,98,0,92,0,0,0,0,0,0,0,133,187,0,0,0,0,0,0,128,234,208,108,194,53,143,100,178,57,169,17,-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crobat_kingdra,0,156,0,0,0,0,0,0,0,147,0,0,0,0,0,0,197,224,0,0,0,16,0,177,0,0,0,0,0,0,0,30,163,0,0,0,0,0,0,218,177,237,190,202,107,61,163,237,91,51,47,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
celebi_kingdra,0,230,0,0,0,0,0,0,0,66,0,0,0,0,0,0,273,171,0,0,0,14,0,161,0,0,0,0,0,0,0,40,146,0,0,0,0,0,0,184,274,158,94,234,134,87,130,137,38,63,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
celebi_registeel,0,211,0,0,0,0,0,0,0,167,0,0,0,0,0,0,261,188,0,0,0,0,0,195,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,59,134,152,195,234,123,104,142,136,27,12,27,-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weavile_tangrowth,0,133,0,0,0,0,0,0,0,231,0,0,0,0,0,0,192,172,0,0,0,75,0,147,0,0,0,0,0,0,0,23,153,0,0,0,0,0,0,206,152,79,137,179,123,144,215,207,73,-25,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weavile_kingdra,0,137,0,0,0,0,0,0,28,143,0,0,0,0,0,0,192,137,0,0,0,31,0,113,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,235,163,149,53,104,202,140,218,241,29,23,-21,-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weavile_registeel,0,115,0,0,0,0,0,0,0,45,0,0,0,0,0,0,182,145,0,0,0,0,0,76,0,0,0,0,0,0,0,28,208,0,0,0,0,0,0,188,120,84,163,214,122,69,225,259,35,84,-18,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crobat_registeel,0,172,0,0,0,0,0,0,10,214,0,0,0,0,0,0,261,215,0,0,0,-10,0,115,0,0,0,0,0,0,0,2,131,0,0,0,0,0,0,235,109,181,226,166,46,85,128,252,38,-17,-36,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
umbreon_registeel,0,161,0,0,0,0,0,0,0,118,0,0,0,0,0,0,245,169,0,0,0,0,0,165,0,0,0,0,0,0,0,-21,155,0,0,0,0,0,0,159,225,164,167,171,102,47,87,192,10,43,-21,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
registeel_feraligatr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kingdra_togekiss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kingdra_heracross,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mamoswine_heracross,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
